video_number,group,title,hook,seo_keywords,script_line1,script_line2,script_line3,script_line4,script_line5,overlay_1,overlay_2,overlay_3,cta
11,User Value Topics,Top 5 Things to Check Before Starting Any Business,"Most people start a business and then figure out the basics - that's backwards.","entrepreneur tools and resources, state business resources, how to start earning independently","One - does your state require a license for what you want to do? Service work especially. Locksmithing, electrical, plumbing, contracting - licensing varies by state and it matters. Income Spectrum has a page for every state.","Two - is there a certification that would make you more credible or hireable right away? Check the Education section. Some certs open doors faster than you'd expect.","Three - what business structure makes sense? Sole prop, LLC? The Supportive Services section has formation tools.","Four - which platform fits your actual type of work? Match it to what you do, not just the most well-known one.","Five - what are you actually solving for: extra income, or replacing your full income? That changes everything about how you approach this.","5 things to check first","State licensing varies - look yours up","incomespectrum.com - free resource hub","Go to incomespectrum.com and use the state pages, education section, and supportive services before you launch anything."
12,User Value Topics,Best Income Platforms If You Work With Your Hands,"If your work is physical - trades, services, hands-on stuff - there are specific platforms built for you.","side hustle platforms, business platforms for independent workers, income options for entrepreneurs","Not every income platform is built the same. If you do physical, trade-based, or local service work, some platforms will be a much better fit than others.","Angi Pro - one of the main platforms for home service contractors. Painting, plumbing, handyman work, landscaping. Worth understanding if you do any of that.","Thumbtack - similar space, connects local service providers with people who need them. Broad range of services.","MyVendorCenter and VendorPM - commercial and property management-side platforms. If you're doing work for property managers or commercial clients, these are worth knowing about.","Income Spectrum covers all of these in the Income Options section. Each one explained so you know what it's for and who it works well for.","Angi Pro / Thumbtack / MyVendorCenter / VendorPM","Built for local and trade-based work","incomespectrum.com - Income Options section","Check the Income Options section at incomespectrum.com - filter for what fits your type of work."
13,User Value Topics,Best Income Platforms for Online and Digital Work,"If your work can happen from a laptop, you've got more options than you probably know.","freelance and contract work platforms, side hustle platforms, business platforms for independent workers","For digital and online work - freelancing, consulting, remote services, teaching - these are the platforms worth knowing.","Fiverr - good for selling packaged services. Writing, design, development, marketing. Works best when you can define what you offer clearly.","Clarity - underused. For consultants and experts who want to charge for their time by the minute. If you have specific knowledge someone would pay to access, Clarity is worth trying.","Catalant - more on the project and consulting side for experienced professionals. Higher-end engagements.","Outschool - if you want to teach something online. FlexJobs - legitimate remote and flexible job listings. Income Spectrum covers all of these with enough context to know which ones are worth your time.","Fiverr / Clarity / Catalant / Outschool / FlexJobs","Match the platform to what you actually offer","incomespectrum.com","Explore the digital platform options at incomespectrum.com - there's more there than you'd expect."
14,User Value Topics,How to Find Your State's Business Resources,"Your state probably has programs you've never heard of - and they're worth knowing about.","state business resources, entrepreneur tools and resources, how to start earning independently","Every US state has its own set of business resources - licensing requirements, grant programs, small business development programs, state-specific certifications in some cases. Most people have no idea these exist.","Income Spectrum has a dedicated page for every state. Go to the site, find your state, and it pulls up what's relevant - licensing info, state programs, and where applicable, things like locksmith licensing requirements.","Why does this matter? Because if you're starting a service business and your state requires a license you don't have, that's a real problem.","And if your state has a program that could help you - a small business loan, a development program - not knowing about it means leaving something on the table.","Most people just start a business without checking any of this. Then they hit a compliance issue or miss out on help that was available.","All 50 states have a dedicated page","Licensing + programs + federal resources","incomespectrum.com - State & Federal Resources","Look up your state at incomespectrum.com - click on State and Federal Resources."
15,User Value Topics,Side Income vs Business Income - What's Actually Different,"There's a difference - and it's not just about how much money you're making.","side hustle platforms, income options for entrepreneurs, how to start earning independently","Side income is money you earn on top of something else. You still have a job, a safety net. You're testing things, building skills, maybe building toward something bigger. Lower urgency, lower stakes.","Business income is your actual thing. You're building something with structure - potentially an LLC, a client base, a service or product that scales. Compliance matters more here.","Side income path on Income Spectrum: start with the Income Options section. Find a platform that fits what you can offer right now. Get moving.","Building a real business: you need Income Options, but also Supportive Services for formation and compliance, the state pages for licensing, and probably Education if you need credentials.","The site serves both. Knowing which one you're doing helps you use it smarter.","Side income vs. business income - different approaches","Same site, different sections depending on your goal","incomespectrum.com","Figure out which path you're on, then go to incomespectrum.com and start in the right section."
16,User Value Topics,The Platforms Most Independent Workers Don't Know About,"Everyone knows Fiverr - but there's a whole layer of platforms most people haven't heard of.","freelance and contract work platforms, business platforms for independent workers, side hustle platforms","If you're an independent worker, you've probably heard of the big ones. But there's a whole tier of platforms that don't get talked about as much and are actually very useful.","Clarity - for consultants and subject matter experts who want to sell time and knowledge directly. Not services, not deliverables - expertise by the minute.","Catalant - for experienced professionals doing high-level consulting work. Project-based, corporate-adjacent.","MyVendorCenter and VendorPM - for people doing service work in the commercial and property management space. Niche but legitimately useful in that world.","Income Spectrum has all of these in the Income Options section. Each one explained, not just listed. Knowing a platform exists is different from knowing whether it's worth your time.","Clarity / Catalant / MyVendorCenter / VendorPM / Outschool","Platforms you haven't heard of - but should know","incomespectrum.com - Income Options","Go to the Income Options section at incomespectrum.com and look past the ones you already know."
17,Terms & Concepts,What Income Options Actually Means,"It's not just a list of side hustles - the term means something specific on Income Spectrum.","income options for entrepreneurs, business platforms for independent workers, freelance and contract work platforms","On Income Spectrum, Income Options is one of the main sections - and it refers specifically to platforms and pathways where you can actually start generating income as an independent worker or entrepreneur.","Not advice about income. Not general tips. Actual platforms - places where you sign up, build a profile or listing, and connect with people who pay for what you do.","The platforms span a few categories. Local service platforms like Angi Pro and Thumbtack. Digital and freelance like Fiverr and FlexJobs. Consulting and expert platforms like Clarity and Catalant.","Commercial and property management platforms like MyVendorCenter and VendorPM. Teaching platforms like Outschool. Each platform has a card that tells you what it's for and how to get started.","The framing is broader on purpose - some of these are serious business platforms, not just extra cash sources.","Income Options = real platforms to start earning","Local / Digital / Consulting / Commercial categories","incomespectrum.com - Income Options section","Browse the Income Options section at incomespectrum.com - it's more organized than any list you've found so far."
18,Terms & Concepts,What Are Supportive Services for a Business?,"Starting a business is one thing - having the infrastructure to run one is different.","entrepreneur tools and resources, how to start earning independently, state business resources","Supportive Services is a section on Income Spectrum that doesn't always get attention right away - but it matters more as you start actually building something.","Supportive services are the tools and resources that help you set up and run a legitimate business. Business formation - actually registering as an LLC or other structure. Compliance tools.","A lot of people focus on the income side - finding clients, joining platforms, making money - and they put off the structural stuff.","Then they end up with income coming in but no business structure around it, which creates problems down the line.","The Supportive Services section points you toward tools that make this easier. Not legal advice - tools and resources that help you handle the foundational stuff so you're operating like an actual business.","Formation / Compliance / Business tools","The infrastructure side of being a founder","incomespectrum.com - Supportive Services","Check the Supportive Services section at incomespectrum.com - especially if you've been putting off the business structure side."
19,Terms & Concepts,What Is a Service Role and Who Should Consider One?,"A service role is a specific type of independent income - and it's the right fit for more people than they realize.","income options for entrepreneurs, founder identity, freelance and contract work platforms","A service role is when the core of what you're selling is your time, expertise, or skill applied directly to a client's problem. Bookkeeping. Consulting. Home repair. Coaching.","It's different from building a product, creating content to scale, or running a platform. In a service role, you are the service.","That's not a limitation - for a lot of people it's actually the fastest path to real income because you don't need to build anything complicated. You just need to be good at something someone will pay for.","Some people thrive in service roles - they like the direct client relationship, the hands-on work, the reliability of a recurring client base. Others find it draining. The Founder Identity Quiz helps sort this out.","If you've been wondering whether you should just offer a service instead of trying to build something, the answer for a lot of people is yes - start there.","Service role = you are the product","Fastest path to income for the right founder type","Take the quiz: incomespectrum.app","Take the Founder Identity Quiz at incomespectrum.app and see if a service role shows up as your best path."
20,Terms & Concepts,What Are State and Federal Resources for Entrepreneurs?,"There's government money and support out there for small business owners - most people just don't know where to find it.","state business resources, entrepreneur tools and resources, how to start earning independently","State and federal resources for entrepreneurs are programs, funding, licensing information, and support services that exist through government channels - available to small business owners and independent workers, not just big companies.","At the federal level - SBA programs, federal contracting opportunities, and information about federal business requirements. These apply regardless of which state you're in.","At the state level it gets more specific. Many states have small business development programs. Some have grants or low-interest loan programs. State-specific licensing requirements for trades vary significantly.","Income Spectrum has a dedicated page for every US state that pulls together what's relevant - licensing requirements, state programs, and pointers to where to go for more.","A lot of independent workers completely skip this layer. They don't know it's there. Some of it is genuinely accessible, and not knowing about it means missing out on resources you've already paid for through taxes.","State programs + federal programs + licensing info","Every US state has a dedicated page on Income Spectrum","incomespectrum.com - State & Federal Resources","Go to incomespectrum.com, click State and Federal Resources, and look up your state."
21,Terms & Concepts,What Is the Founder File?,"Your Founder File is the output of the quiz - but it's meant to actually do something.","founder identity, income path for beginners, income options for entrepreneurs","When you take the Founder Identity Quiz on the Income Spectrum app, what you get back is your Founder File.","The Founder File is your result profile. It tells you which founder type you most closely match - hands-on, digital, service-based, product-based, or some combination.","But it's not just a label. The Founder File tells you which income platforms are most relevant to your type, points you toward certifications that make sense for where you're headed, and gives you a filter for the whole site.","So instead of going to Income Spectrum and not knowing where to start, your Founder File basically says - here's your category, here's where to look first.","The quiz is free, the Founder File is free, and the whole point is to make your exploration feel less like searching in the dark.","Founder File = your personalized income path map","Generated from the Founder Identity Quiz","Get yours at incomespectrum.app","Get your Founder File at incomespectrum.app - take the quiz and see what comes back."
